id,target_feature
0,0
1,0
2,2
3,1
4,2
5,1
6,1
7,2
8,0
9,2
10,1
11,1
12,2
13,2
14,2
15,0
16,1
17,2
18,1
19,1
20,1
21,0
22,2
23,0
24,0
25,0
26,0
27,1
28,0
29,2
30,1
31,2
32,1
33,2
34,1
35,1
36,2
37,2
38,0
39,2
40,2
41,0
42,0
43,2
44,2
45,2
46,2
47,2
48,1
49,2
50,2
51,1
52,2
53,2
54,1
55,1
56,1
57,0
58,2
59,1
60,0
61,0
62,2
63,2
64,0
65,0
66,1
67,2
68,1
69,1
70,2
71,2
72,0
73,1
74,1
75,1
76,2
77,0
78,0
79,0
80,0
81,0
82,2
83,0
84,0
85,0
86,2
87,1
88,0
89,0
90,0
91,1
92,0
93,0
94,2
95,1
96,1
97,1
98,2
99,1
100,0
101,2
102,0
103,1
104,1
105,2
106,1
107,1
108,1
109,1
110,0
111,2
112,1
113,1
114,0
115,2
116,1
117,2
118,2
119,1
120,1
121,1
122,1
123,0
124,0
125,0
126,0
127,2
128,1
129,2
130,0
131,2
132,2
133,2
134,0
135,0
136,1
137,1
138,2
139,1
140,2
141,0
142,0
143,2
144,1
145,0
146,1
147,1
148,1
149,1
150,2
151,0
152,0
153,1
154,2
155,1
156,0
157,0
158,1
159,2
160,1
161,1
162,1
163,1
164,0
165,0
166,0
167,0
168,2
169,0
170,1
171,1
172,0
173,0
174,2
175,0
176,1
177,1
178,0
179,1
180,2
181,2
182,1
183,2
184,2
185,0
186,0
187,0
188,1
189,0
190,1
191,2
192,0
193,2
194,1
195,0
196,2
197,0
198,1
199,0
200,1
201,2
202,1
203,0
204,0
205,1
206,2
207,0
208,1
209,2
210,2
211,0
212,1
213,2
214,1
215,0
216,2
217,0
218,1
219,1
220,1
221,1
222,1
223,0
224,1
225,0
226,0
227,2
228,2
229,1
230,2
231,0
232,0
233,2
234,1
235,1
236,2
237,1
238,0
239,0
240,1
241,0
242,0
243,2
244,1
245,0
246,2
247,0
248,0
249,0
250,1
251,1
252,2
253,2
254,1
255,1
256,1
257,1
258,2
259,0
260,0
261,1
262,0
263,0
264,0
265,1
266,1
267,2
268,1
269,2
270,1
271,1
272,0
273,2
274,1
275,2
276,2
277,0
278,2
279,0
280,1
281,1
282,2
283,0
284,1
285,2
286,1
287,1
288,0
289,0
290,0
291,2
292,0
293,0
294,0
295,1
296,0
297,2
298,0
299,0
300,0
301,1
302,0
303,0
304,1
305,1
306,1
307,2
308,0
309,2
310,0
311,0
312,0
313,2
314,1
315,1
316,2
317,2
318,1
319,1
320,2
321,0
322,0
323,2
324,0
325,1
326,0
327,1
328,2
329,1
330,2
331,0
332,1
333,1
334,2
335,0
336,0
337,1
338,1
339,1
340,0
341,1
342,1
343,2
344,2
345,0
346,1
347,2
348,2
349,1
350,1
351,1
352,0
353,2
354,1
355,0
356,2
357,0
358,0
359,2
360,0
361,0
362,1
363,1
364,0
365,1
366,2
367,1
368,2
369,0
370,1
371,0
372,2
373,0
374,0
375,1
376,1
377,1
378,0
379,0
380,0
381,1
382,1
383,0
384,1
385,0
386,1
387,1
388,2
389,1
390,2
391,0
392,2
393,2
394,0
395,1
396,0
397,0
398,0
399,1
400,0
401,0
402,1
403,2
404,1
405,0
406,2
407,1
408,1
409,0
410,1
411,2
412,0
413,1
414,0
415,2
416,2
417,1
418,1
419,2
420,1
421,0
422,2
423,0
424,0
425,1
426,0
427,2
428,1
429,2
430,2
431,0
432,2
433,1
434,0
435,2
436,2
437,1
438,1
439,1
440,1
441,2
442,0
443,2
444,1
445,1
446,1
447,2
448,1
449,1
450,2
451,0
452,2
453,1
454,0
455,2
456,0
457,1
458,2
459,2
460,1
461,1
462,1
463,2
464,1
465,2
466,0
467,0
468,0
469,0
470,1
471,1
472,2
473,0
474,1
475,1
476,1
477,2
478,1
479,1
480,1
481,0
482,1
483,2
484,2
485,1
486,1
487,1
488,1
489,0
490,2
491,1
492,2
493,0
494,2
495,0
496,2
497,0
498,1
499,2
500,2
501,1
502,2
503,0
504,1
505,2
506,2
507,1
508,0
509,2
510,1
511,1
512,2
513,0
514,2
515,1
516,2
517,0
518,1
519,0
520,1
521,2
522,0
523,1
524,1
525,1
526,1
527,2
528,1
529,1
530,2
531,0
